delay,threads,run,MiB
0,1,1,1123
0,1,2,1123
0,1,3,1123
0,1,4,1123
0,1,5,1123
0,2,1,1122
0,2,2,1122
0,2,3,1122
0,2,4,1122
0,2,5,1122
0,3,1,1122
0,3,2,1122
0,3,3,1122
0,3,4,1122
0,3,5,1122
0,4,1,1124
0,4,2,1124
0,4,3,1122
0,4,4,1122
0,4,5,1122
0,5,1,1120
0,5,2,1121
0,5,3,1121
0,5,4,1124
0,5,5,1124
50,1,1,997
50,1,2,997
50,1,3,997
50,1,4,997
50,1,5,997
50,2,1,947
50,2,2,990
50,2,3,1092
50,2,4,1115
50,2,5,1122
50,3,1,999
50,3,2,1014
50,3,3,1036
50,3,4,928
50,3,5,1032
50,4,1,1027
50,4,2,978
50,4,3,965.1
50,4,4,905
50,4,5,1044
50,5,1,909
50,5,2,1084
50,5,3,821.2
50,5,4,1102.1
50,5,5,982
100,1,1,444
100,1,2,499
100,1,3,499
100,1,4,498
100,1,5,498
100,2,1,617
100,2,2,696
100,2,3,755
100,2,4,472
100,2,5,811
100,3,1,1003
100,3,2,786
100,3,3,638.2
100,3,4,798
100,3,5,907
100,4,1,672
100,4,2,779
100,4,3,830
100,4,4,652.9
100,4,5,742.9
100,5,1,671.4
100,5,2,800.5
100,5,3,727.9
100,5,4,843.4
100,5,5,805.8
