MiB,delay,tcp_size,parallel_buffer,N,run,seconds
1024,0,default,4,1,1,1.80875205994
1024,0,default,4,1,2,1.79292321205
1024,0,default,4,1,3,1.79338884354
1024,0,default,4,2,1,1.12118601799
1024,0,default,4,2,2,1.14486503601
1024,0,default,4,2,3,1.09488487244
1024,0,default,4,3,1,1.07009005547
1024,0,default,4,3,2,1.07603096962
1024,0,default,4,3,3,1.07420301437
1024,0,default,4,4,1,1.07677984238
1024,0,default,4,4,2,1.07051682472
1024,0,default,4,4,3,1.07015013695
1024,0,default,4,8,1,1.05311989784
1024,0,default,4,8,2,1.06316804886
1024,0,default,4,8,3,1.06552100182
1024,0,default,4,16,1,1.07711005211
1024,0,default,4,16,2,1.07253408432
1024,0,default,4,16,3,1.07929587364
1024,0,default,50,1,1,2.02756094933
1024,0,default,50,1,2,2.07718801498
1024,0,default,50,1,3,2.08966302872
1024,0,default,50,2,1,1.24671506882
1024,0,default,50,2,2,1.23577690125
1024,0,default,50,2,3,1.25794315338
1024,0,default,50,3,1,1.16393089294
1024,0,default,50,3,2,1.19433999062
1024,0,default,50,3,3,1.16656804085
1024,0,default,50,4,1,1.13158583641
1024,0,default,50,4,2,1.0994079113
1024,0,default,50,4,3,1.11945009232
1024,0,default,50,8,1,1.08771800995
1024,0,default,50,8,2,1.09818005562
1024,0,default,50,8,3,1.09700012207
1024,0,default,50,16,1,1.10665893555
1024,0,default,50,16,2,1.10569596291
1024,0,default,50,16,3,1.11491990089
1024,0,default,100,1,1,2.22006797791
1024,0,default,100,1,2,2.24652600288
1024,0,default,100,1,3,2.24845194817
1024,0,default,100,2,1,1.23338103294
1024,0,default,100,2,2,1.25025296211
1024,0,default,100,2,3,1.21483802795
1024,0,default,100,3,1,1.14333295822
1024,0,default,100,3,2,1.17688202858
1024,0,default,100,3,3,1.18470597267
1024,0,default,100,4,1,1.12095189095
1024,0,default,100,4,2,1.11386013031
1024,0,default,100,4,3,1.06126999855
1024,0,default,100,8,1,1.09009981155
1024,0,default,100,8,2,1.10070514679
1024,0,default,100,8,3,1.10192990303
1024,0,default,100,16,1,1.06004214287
1024,0,default,100,16,2,1.1082868576
1024,0,default,100,16,3,1.10497713089
1024,0,big,4,1,1,1.83331298828
1024,0,big,4,1,2,1.83282613754
1024,0,big,4,1,3,1.83011484146
1024,0,big,4,2,1,1.07423591614
1024,0,big,4,2,2,1.07705307007
1024,0,big,4,2,3,1.08328795433
1024,0,big,4,3,1,1.03441214561
1024,0,big,4,3,2,1.07439899445
1024,0,big,4,3,3,1.07385516167
1024,0,big,4,4,1,1.07062506676
1024,0,big,4,4,2,1.03559112549
1024,0,big,4,4,3,1.07070493698
1024,0,big,4,8,1,1.06583404541
1024,0,big,4,8,2,1.0738658905
1024,0,big,4,8,3,1.07134389877
1024,0,big,4,16,1,1.07193994522
1024,0,big,4,16,2,1.05242085457
1024,0,big,4,16,3,1.06922602654
1024,0,big,50,1,1,2.06372714043
1024,0,big,50,1,2,2.13823509216
1024,0,big,50,1,3,2.27284502983
1024,0,big,50,2,1,1.23529314995
1024,0,big,50,2,2,1.23505616188
1024,0,big,50,2,3,1.25198888779
1024,0,big,50,3,1,1.14261102676
1024,0,big,50,3,2,1.17958402634
1024,0,big,50,3,3,1.15008211136
1024,0,big,50,4,1,1.10696792603
1024,0,big,50,4,2,1.1102077961
1024,0,big,50,4,3,1.12385702133
1024,0,big,50,8,1,1.09841990471
1024,0,big,50,8,2,1.08084583282
1024,0,big,50,8,3,1.09582400322
1024,0,big,50,16,1,1.09541606903
1024,0,big,50,16,2,1.06484007835
1024,0,big,50,16,3,1.10265898705
1024,0,big,100,1,1,2.33453392982
1024,0,big,100,1,2,2.33738803864
1024,0,big,100,1,3,2.33486580849
1024,0,big,100,2,1,1.25032377243
1024,0,big,100,2,2,1.23891115189
1024,0,big,100,2,3,1.22754001617
1024,0,big,100,3,1,1.18442296982
1024,0,big,100,3,2,1.17856907845
1024,0,big,100,3,3,1.13625693321
1024,0,big,100,4,1,1.10244083405
1024,0,big,100,4,2,1.09432387352
1024,0,big,100,4,3,1.11207890511
1024,0,big,100,8,1,1.09659194946
1024,0,big,100,8,2,1.09840393066
1024,0,big,100,8,3,1.0948638916
1024,0,big,100,16,1,1.09937596321
1024,0,big,100,16,2,1.1029510498
1024,0,big,100,16,3,1.10232591629
1024,50,default,4,1,1,285.412328005
1024,50,default,4,1,2,261.655363083
1024,50,default,4,1,3,285.243242979
1024,50,default,4,2,1,129.719408989
1024,50,default,4,2,2,129.568289042
1024,50,default,4,2,3,129.631910086
1024,50,default,4,3,1,86.9406871796
1024,50,default,4,3,2,86.8218290806
1024,50,default,4,3,3,86.8147568703
1024,50,default,4,4,1,65.4435219765
1024,50,default,4,4,2,65.4686541557
1024,50,default,4,4,3,65.5219538212
1024,50,default,4,8,1,33.5111420155
1024,50,default,4,8,2,33.4749670029
1024,50,default,4,8,3,33.4684951305
1024,50,default,4,16,1,17.8058030605
1024,50,default,4,16,2,17.8428640366
1024,50,default,4,16,3,17.8142988682
1024,50,default,50,1,1,278.032597065
1024,50,default,50,1,2,277.967556953
1024,50,default,50,1,3,277.882040024
1024,50,default,50,2,1,129.904297113
1024,50,default,50,2,2,129.727759123
1024,50,default,50,2,3,129.833815098
1024,50,default,50,3,1,86.9271109104
1024,50,default,50,3,2,86.9889259338
1024,50,default,50,3,3,87.1059958935
1024,50,default,50,4,1,65.6275348663
1024,50,default,50,4,2,65.492358923
1024,50,default,50,4,3,65.6667108536
1024,50,default,50,8,1,33.611550808
1024,50,default,50,8,2,33.5738241673
1024,50,default,50,8,3,33.61262393
1024,50,default,50,16,1,17.8226120472
1024,50,default,50,16,2,17.8842358589
1024,50,default,50,16,3,17.8202021122
1024,50,default,100,1,1,276.588413954
1024,50,default,100,1,2,276.523847818
1024,50,default,100,1,3,276.555267096
1024,50,default,100,2,1,129.872863054
1024,50,default,100,2,2,129.974475861
1024,50,default,100,2,3,129.868155003
1024,50,default,100,3,1,87.006289959
1024,50,default,100,3,2,87.0770330429
1024,50,default,100,3,3,86.8745679855
1024,50,default,100,4,1,65.5341830254
1024,50,default,100,4,2,65.5364618301
1024,50,default,100,4,3,65.4970481396
1024,50,default,100,8,1,33.5305581093
1024,50,default,100,8,2,33.5961270332
1024,50,default,100,8,3,33.5460708141
1024,50,default,100,16,1,17.8225970268
1024,50,default,100,16,2,17.88321805
1024,50,default,100,16,3,17.8899099827
1024,50,big,4,1,1,272.412305832
1024,50,big,4,1,2,272.394515038
1024,50,big,4,1,3,272.46551013
1024,50,big,4,2,1,28.0653300285
1024,50,big,4,2,2,27.9086370468
1024,50,big,4,2,3,27.9341959953
1024,50,big,4,3,1,19.0650179386
1024,50,big,4,3,2,19.064925909
1024,50,big,4,3,3,19.0691139698
1024,50,big,4,4,1,14.6544849873
1024,50,big,4,4,2,14.6355481148
1024,50,big,4,4,3,14.8134179115
1024,50,big,4,8,1,8.13842821121
1024,50,big,4,8,2,8.13974905014
1024,50,big,4,8,3,8.13275313377
1024,50,big,4,16,1,5.15993404388
1024,50,big,4,16,2,5.13303089142
1024,50,big,4,16,3,5.26205801964
1024,50,big,50,1,1,263.598838091
1024,50,big,50,1,2,263.312311888
1024,50,big,50,1,3,263.51885891
1024,50,big,50,2,1,28.1217019558
1024,50,big,50,2,2,28.1224169731
1024,50,big,50,2,3,28.1439819336
1024,50,big,50,3,1,19.1877739429
1024,50,big,50,3,2,19.1849999428
1024,50,big,50,3,3,19.2035229206
1024,50,big,50,4,1,14.740593195
1024,50,big,50,4,2,14.7100257874
1024,50,big,50,4,3,14.699655056
1024,50,big,50,8,1,8.15758299828
1024,50,big,50,8,2,8.12853503227
1024,50,big,50,8,3,8.18585705757
1024,50,big,50,16,1,5.14130401611
1024,50,big,50,16,2,5.16205000877
1024,50,big,50,16,3,5.13503503799
1024,50,big,100,1,1,262.605191946
1024,50,big,100,1,2,262.433809996
1024,50,big,100,1,3,262.907073021
1024,50,big,100,2,1,28.141367197
1024,50,big,100,2,2,28.1337270737
1024,50,big,100,2,3,28.130436182
1024,50,big,100,3,1,19.1923401356
1024,50,big,100,3,2,19.1901171207
1024,50,big,100,3,3,19.1891109943
1024,50,big,100,4,1,14.7196879387
1024,50,big,100,4,2,14.710725069
1024,50,big,100,4,3,14.7373969555
1024,50,big,100,8,1,8.15685486794
1024,50,big,100,8,2,8.17128610611
1024,50,big,100,8,3,8.19644904137
1024,50,big,100,16,1,5.14882206917
1024,50,big,100,16,2,5.14088511467
1024,50,big,100,16,3,5.1431748867
1024,100,default,4,1,1,526.008673906
1024,100,default,4,1,2,528.468293905
1024,100,default,4,1,3,518.093322992
1024,100,default,4,2,1,258.771321058
1024,100,default,4,2,2,258.872153997
1024,100,default,4,2,3,258.69671011
1024,100,default,4,3,1,173.072154999
1024,100,default,4,3,2,173.264860868
1024,100,default,4,3,3,173.327991009
1024,100,default,4,4,1,130.466868877
1024,100,default,4,4,2,130.661211967
1024,100,default,4,4,3,130.378428936
1024,100,default,4,8,1,66.7978589535
1024,100,default,4,8,2,66.6018469334
1024,100,default,4,8,3,66.7141339779
1024,100,default,4,16,1,35.6361851692
1024,100,default,4,16,2,35.6334571838
1024,100,default,4,16,3,35.7990350723
1024,100,default,50,1,1,515.23597908
1024,100,default,50,1,2,515.83761692
1024,100,default,50,1,3,516.05737114
1024,100,default,50,2,1,258.834353924
1024,100,default,50,2,2,259.193738937
1024,100,default,50,2,3,258.727774858
1024,100,default,50,3,1,173.366285086
1024,100,default,50,3,2,173.476871967
1024,100,default,50,3,3,173.387428999
1024,100,default,50,4,1,130.675421953
1024,100,default,50,4,2,130.633508921
1024,100,default,50,4,3,130.536818027
1024,100,default,50,8,1,66.6952459812
1024,100,default,50,8,2,66.6736700535
1024,100,default,50,8,3,66.8678529263
1024,100,default,50,16,1,35.4348809719
1024,100,default,50,16,2,35.4371409416
1024,100,default,50,16,3,35.4325909615
1024,100,default,100,1,1,515.904431105
1024,100,default,100,1,2,516.069663763
1024,100,default,100,1,3,516.275308847
1024,100,default,100,2,1,259.348319054
1024,100,default,100,2,2,258.918162107
1024,100,default,100,2,3,258.9359622
1024,100,default,100,3,1,173.252459049
1024,100,default,100,3,2,173.2826612
1024,100,default,100,3,3,173.367447853
1024,100,default,100,4,1,130.572955132
1024,100,default,100,4,2,130.522907019
1024,100,default,100,4,3,130.553630114
1024,100,default,100,8,1,66.8769438267
1024,100,default,100,8,2,66.9775719643
1024,100,default,100,8,3,66.6009070873
1024,100,default,100,16,1,35.4305830002
1024,100,default,100,16,2,35.4236309528
1024,100,default,100,16,3,35.6901500225
1024,100,big,4,1,1,516.676141977
1024,100,big,4,1,2,516.644961119
1024,100,big,4,1,3,516.654505014
1024,100,big,4,2,1,54.9779150486
1024,100,big,4,2,2,54.9796230793
1024,100,big,4,2,3,54.9922978878
1024,100,big,4,3,1,37.643362999
1024,100,big,4,3,2,37.6310560703
1024,100,big,4,3,3,37.6133229733
1024,100,big,4,4,1,28.7235598564
1024,100,big,4,4,2,28.6870028973
1024,100,big,4,4,3,28.903044939
1024,100,big,4,8,1,15.8658649921
1024,100,big,4,8,2,15.8497891426
1024,100,big,4,8,3,15.8603098392
1024,100,big,4,16,1,21.1659090519
1024,100,big,4,16,2,20.872371912
1024,100,big,4,16,3,20.2095189095
1024,100,big,50,1,1,516.434034824
1024,100,big,50,1,2,516.437537909
1024,100,big,50,1,3,516.487474918
1024,100,big,50,2,1,55.1963379383
1024,100,big,50,2,2,55.1555969715
1024,100,big,50,2,3,55.1516740322
1024,100,big,50,3,1,37.72687006
1024,100,big,50,3,2,37.5453460217
1024,100,big,50,3,3,37.5178568363
1024,100,big,50,4,1,28.8129498959
1024,100,big,50,4,2,28.7915029526
1024,100,big,50,4,3,28.8067398071
1024,100,big,50,8,1,15.9314391613
1024,100,big,50,8,2,15.904624939
1024,100,big,50,8,3,15.9407479763
1024,100,big,50,16,1,21.808161974
1024,100,big,50,16,2,21.9033439159
1024,100,big,50,16,3,25.0975348949
1024,100,big,100,1,1,516.339076996
1024,100,big,100,1,2,516.245867014
1024,100,big,100,1,3,516.264112949
1024,100,big,100,2,1,55.1627719402
1024,100,big,100,2,2,55.1348209381
1024,100,big,100,2,3,55.1631319523
1024,100,big,100,3,1,37.5495710373
1024,100,big,100,3,2,37.7382519245
1024,100,big,100,3,3,37.5588181019
1024,100,big,100,4,1,28.8048892021
1024,100,big,100,4,2,28.8282310963
1024,100,big,100,4,3,28.7892870903
1024,100,big,100,8,1,15.8986141682
1024,100,big,100,8,2,15.9062860012
1024,100,big,100,8,3,15.9317190647
1024,100,big,100,16,1,21.2313919067
1024,100,big,100,16,2,20.9340100288
1024,100,big,100,16,3,21.2035219669
5120,0,default,4,1,1,9.35841393471
5120,0,default,4,1,2,8.48936700821
5120,0,default,4,1,3,8.42429113388
5120,0,default,4,2,1,5.15849399567
5120,0,default,4,2,2,4.8433880806
5120,0,default,4,2,3,5.14959001541
5120,0,default,4,3,1,4.72470283508
5120,0,default,4,3,2,4.72007107735
5120,0,default,4,3,3,4.7206120491
5120,0,default,4,4,1,4.71604204178
5120,0,default,4,4,2,4.73435282707
5120,0,default,4,4,3,4.8154630661
5120,0,default,4,8,1,4.71957302094
5120,0,default,4,8,2,4.71740198135
5120,0,default,4,8,3,4.71918582916
5120,0,default,4,16,1,4.72195291519
5120,0,default,4,16,2,4.72084903717
5120,0,default,4,16,3,4.72113800049
5120,0,default,50,1,1,9.16132807732
5120,0,default,50,1,2,9.0362610817
5120,0,default,50,1,3,9.14381718636
5120,0,default,50,2,1,5.59628486633
5120,0,default,50,2,2,5.42236399651
5120,0,default,50,2,3,5.23631811142
5120,0,default,50,3,1,4.96281504631
5120,0,default,50,3,2,5.06730484962
5120,0,default,50,3,3,5.01764798164
5120,0,default,50,4,1,4.83179497719
5120,0,default,50,4,2,4.84224891663
5120,0,default,50,4,3,4.80045795441
5120,0,default,50,8,1,4.75503206253
5120,0,default,50,8,2,4.76084303856
5120,0,default,50,8,3,4.7556078434
5120,0,default,50,16,1,4.75256681442
5120,0,default,50,16,2,4.76186203957
5120,0,default,50,16,3,4.75305104256
5120,0,default,100,1,1,11.0447781086
5120,0,default,100,1,2,10.7652230263
5120,0,default,100,1,3,10.7410929203
5120,0,default,100,2,1,5.36686992645
5120,0,default,100,2,2,5.25424695015
5120,0,default,100,2,3,5.57588601112
5120,0,default,100,3,1,5.14350914955
5120,0,default,100,3,2,4.95185399055
5120,0,default,100,3,3,5.09988021851
5120,0,default,100,4,1,4.82497000694
5120,0,default,100,4,2,4.82830095291
5120,0,default,100,4,3,4.81732106209
5120,0,default,100,8,1,4.74914097786
5120,0,default,100,8,2,4.75417304039
5120,0,default,100,8,3,4.74859690666
5120,0,default,100,16,1,4.75208806992
5120,0,default,100,16,2,4.74829888344
5120,0,default,100,16,3,4.75389480591
5120,0,big,4,1,1,8.54535698891
5120,0,big,4,1,2,8.49165201187
5120,0,big,4,1,3,8.31450200081
5120,0,big,4,2,1,4.75695896149
5120,0,big,4,2,2,4.79825019836
5120,0,big,4,2,3,4.73070907593
5120,0,big,4,3,1,4.730935812
5120,0,big,4,3,2,4.7217040062
5120,0,big,4,3,3,4.72814011574
5120,0,big,4,4,1,4.72495388985
5120,0,big,4,4,2,4.72000598907
5120,0,big,4,4,3,4.71337199211
5120,0,big,4,8,1,4.71981096268
5120,0,big,4,8,2,4.71794700623
5120,0,big,4,8,3,4.71753883362
5120,0,big,4,16,1,4.71943688393
5120,0,big,4,16,2,4.71900105476
5120,0,big,4,16,3,4.71924901009
5120,0,big,50,1,1,9.97800183296
5120,0,big,50,1,2,9.85132908821
5120,0,big,50,1,3,10.1716091633
