MiB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,0,big,100,1,1,23.355134964
10240,0,big,100,1,2,22.7833640575
10240,0,big,100,1,3,22.9968831539
10240,0,big,100,1,4,22.4280068874
10240,0,big,100,1,5,23.1444618702
10240,0,big,100,1,6,22.4580731392
10240,0,big,100,1,7,23.3124148846
10240,0,big,100,1,8,22.4725320339
10240,0,big,100,1,9,23.4647951126
10240,0,big,100,1,10,22.2189941406
10240,0,big,100,2,1,9.7843298912
10240,0,big,100,2,2,9.81708979607
10240,0,big,100,2,3,9.52037596703
10240,0,big,100,2,4,10.4854869843
10240,0,big,100,2,5,9.50054383278
10240,0,big,100,2,6,9.68897199631
10240,0,big,100,2,7,9.56833386421
10240,0,big,100,2,8,9.50572800636
10240,0,big,100,2,9,9.4603099823
10240,0,big,100,2,10,9.53645396233
10240,0,big,100,3,1,9.5489590168
10240,0,big,100,3,2,9.41652107239
10240,0,big,100,3,3,9.51486492157
10240,0,big,100,3,4,9.39678502083
10240,0,big,100,3,5,9.375467062
10240,0,big,100,3,6,9.34839820862
10240,0,big,100,3,7,9.44543886185
10240,0,big,100,3,8,9.33336114883
10240,0,big,100,3,9,9.4059741497
10240,0,big,100,3,10,9.35132002831
10240,0,big,100,4,1,9.3649661541
10240,0,big,100,4,2,9.35458993912
10240,0,big,100,4,3,9.33374714851
10240,0,big,100,4,4,9.36834287643
10240,0,big,100,4,5,9.33319497108
10240,0,big,100,4,6,9.33092308044
10240,0,big,100,4,7,9.33209395409
10240,0,big,100,4,8,9.33647108078
10240,0,big,100,4,9,9.34831786156
10240,0,big,100,4,10,9.35854291916
10240,0,big,100,8,1,9.30497789383
10240,0,big,100,8,2,9.33190798759
10240,0,big,100,8,3,9.31560587883
10240,0,big,100,8,4,9.317497015
10240,0,big,100,8,5,9.35054516792
10240,0,big,100,8,6,9.32635903358
10240,0,big,100,8,7,9.33116698265
10240,0,big,100,8,8,9.30481505394
10240,0,big,100,8,9,9.30644893646
10240,0,big,100,8,10,9.34935498238
10240,0,big,100,16,1,9.3175702095
10240,0,big,100,16,2,9.34317111969
10240,0,big,100,16,3,9.3211889267
10240,0,big,100,16,4,9.36000800133
10240,0,big,100,16,5,9.38880586624
10240,0,big,100,16,6,9.34453487396
10240,0,big,100,16,7,9.35866999626
10240,0,big,100,16,8,9.36542701721
10240,0,big,100,16,9,9.37696695328
10240,0,big,100,16,10,9.33285498619
10240,10,big,100,1,1,23.510021925
10240,10,big,100,1,2,23.4691019058
10240,10,big,100,1,3,23.3814060688
10240,10,big,100,1,4,23.3806121349
10240,10,big,100,1,5,23.3815820217
10240,10,big,100,1,6,23.4335379601
10240,10,big,100,1,7,23.2981991768
10240,10,big,100,1,8,23.4514811039
10240,10,big,100,1,9,23.2580020428
10240,10,big,100,1,10,23.3538858891
10240,10,big,100,2,1,9.53793406487
10240,10,big,100,2,2,10.2713441849
10240,10,big,100,2,3,10.5367689133
10240,10,big,100,2,4,9.73829102516
10240,10,big,100,2,5,10.4022948742
10240,10,big,100,2,6,10.5089230537
10240,10,big,100,2,7,10.339302063
10240,10,big,100,2,8,10.0065648556
10240,10,big,100,2,9,9.9426240921
10240,10,big,100,2,10,9.53810811043
10240,10,big,100,3,1,9.74960517883
10240,10,big,100,3,2,10.3981940746
10240,10,big,100,3,3,10.7128229141
10240,10,big,100,3,4,14.4024100304
10240,10,big,100,3,5,9.53653597832
10240,10,big,100,3,6,10.1247279644
10240,10,big,100,3,7,9.54316902161
10240,10,big,100,3,8,9.51784300804
10240,10,big,100,3,9,9.90773487091
10240,10,big,100,3,10,9.74883699417
10240,10,big,100,4,1,10.7866568565
10240,10,big,100,4,2,11.4230480194
10240,10,big,100,4,3,10.6439089775
10240,10,big,100,4,4,10.165088892
10240,10,big,100,4,5,9.82556796074
10240,10,big,100,4,6,19.9341449738
10240,10,big,100,4,7,11.1004221439
10240,10,big,100,4,8,10.0436730385
10240,10,big,100,4,9,9.55599617958
10240,10,big,100,4,10,9.52481293678
10240,10,big,100,8,1,16.3552508354
10240,10,big,100,8,2,16.586591959
10240,10,big,100,8,3,13.1028621197
10240,10,big,100,8,4,16.3169841766
10240,10,big,100,8,5,16.4259650707
10240,10,big,100,8,6,14.4400370121
10240,10,big,100,8,7,17.5440130234
10240,10,big,100,8,8,14.9754910469
10240,10,big,100,8,9,15.6917600632
10240,10,big,100,8,10,17.7394211292
10240,10,big,100,16,1,13.136578083
10240,10,big,100,16,2,14.2667469978
10240,10,big,100,16,3,12.9898421764
10240,10,big,100,16,4,12.8887441158
10240,10,big,100,16,5,12.8624360561
10240,10,big,100,16,6,12.8912420273
10240,10,big,100,16,7,14.0967271328
10240,10,big,100,16,8,15.2462160587
10240,10,big,100,16,9,13.6717960835
10240,10,big,100,16,10,15.6237919331
10240,20,big,100,1,1,25.4329168797
10240,20,big,100,1,2,24.2812669277
10240,20,big,100,1,3,24.4710571766
10240,20,big,100,1,4,26.7341721058
10240,20,big,100,1,5,24.1204960346
10240,20,big,100,1,6,25.264384985
10240,20,big,100,1,7,24.2109000683
10240,20,big,100,1,8,24.6757581234
10240,20,big,100,1,9,26.13971591
10240,20,big,100,1,10,24.2058339119
10240,20,big,100,2,1,12.683150053
10240,20,big,100,2,2,9.95087480545
10240,20,big,100,2,3,9.73937296867
10240,20,big,100,2,4,9.8957529068
10240,20,big,100,2,5,10.1239540577
10240,20,big,100,2,6,11.1924669743
10240,20,big,100,2,7,10.8485808372
10240,20,big,100,2,8,10.1539611816
10240,20,big,100,2,9,10.0807640553
10240,20,big,100,2,10,11.4817340374
10240,20,big,100,3,1,11.6143789291
10240,20,big,100,3,2,12.3823199272
10240,20,big,100,3,3,14.1526858807
10240,20,big,100,3,4,12.8974270821
10240,20,big,100,3,5,12.8280658722
10240,20,big,100,3,6,14.2965600491
10240,20,big,100,3,7,10.381403923
10240,20,big,100,3,8,10.0973949432
10240,20,big,100,3,9,12.3846609592
10240,20,big,100,3,10,12.834993124
10240,20,big,100,4,1,10.3656330109
10240,20,big,100,4,2,11.9401960373
10240,20,big,100,4,3,12.4627418518
10240,20,big,100,4,4,9.79989099503
10240,20,big,100,4,5,11.0015640259
10240,20,big,100,4,6,10.6591351032
10240,20,big,100,4,7,16.2773070335
10240,20,big,100,4,8,10.1832869053
10240,20,big,100,4,9,9.92483282089
10240,20,big,100,4,10,12.3731720448
10240,20,big,100,8,1,30.768996954
10240,20,big,100,8,2,21.7197580338
10240,20,big,100,8,3,26.3006269932
10240,20,big,100,8,4,18.3327281475
10240,20,big,100,8,5,27.2748379707
10240,20,big,100,8,6,27.2800848484
10240,20,big,100,8,7,30.578068018
10240,20,big,100,8,8,27.0901567936
10240,20,big,100,8,9,18.6373779774
10240,20,big,100,8,10,19.9991459846
10240,20,big,100,16,1,28.8375048637
10240,20,big,100,16,2,28.7355620861
10240,20,big,100,16,3,28.3006498814
10240,20,big,100,16,4,24.5004649162
10240,20,big,100,16,5,25.9933159351
10240,20,big,100,16,6,28.751734972
10240,20,big,100,16,7,25.1499900818
10240,20,big,100,16,8,23.0985789299
10240,20,big,100,16,9,26.7854671478
10240,20,big,100,16,10,28.0757269859
10240,30,big,100,1,1,25.4149940014
10240,30,big,100,1,2,25.3873012066
10240,30,big,100,1,3,25.5273199081
10240,30,big,100,1,4,25.5391910076
10240,30,big,100,1,5,26.2528610229
10240,30,big,100,1,6,25.5170788765
10240,30,big,100,1,7,25.3965139389
10240,30,big,100,1,8,25.4411041737
10240,30,big,100,1,9,25.3722929955
10240,30,big,100,1,10,25.4164729118
10240,30,big,100,2,1,10.0183260441
10240,30,big,100,2,2,12.7167770863
10240,30,big,100,2,3,10.0295140743
10240,30,big,100,2,4,10.3096730709
10240,30,big,100,2,5,11.3614230156
10240,30,big,100,2,6,11.3164651394
10240,30,big,100,2,7,15.7652301788
10240,30,big,100,2,8,10.4054980278
