MiB,delay,tcp_size,parallel_buffer,N,run,seconds
35,0,default,4,1,1,0.260556936264
35,0,default,4,1,2,0.225071907043
35,0,default,4,1,3,0.232402086258
35,0,default,4,2,1,0.181043863297
35,0,default,4,2,2,0.192032814026
35,0,default,4,2,3,0.191285848618
35,0,default,4,3,1,0.157823085785
35,0,default,4,3,2,0.18252491951
35,0,default,4,3,3,0.181134939194
35,0,default,4,4,1,0.179740905762
35,0,default,4,4,2,0.182046890259
35,0,default,4,4,3,0.180308818817
35,0,default,4,8,1,0.199257850647
35,0,default,4,8,2,0.187343835831
35,0,default,4,8,3,0.190732002258
35,0,default,4,16,1,0.189688920975
35,0,default,4,16,2,0.18487906456
35,0,default,4,16,3,0.198286056519
35,0,default,50,1,1,0.219620943069
35,0,default,50,1,2,0.216861963272
35,0,default,50,1,3,0.21337890625
35,0,default,50,2,1,0.201049089432
35,0,default,50,2,2,0.227452039719
35,0,default,50,2,3,0.203312158585
35,0,default,50,3,1,0.19732093811
35,0,default,50,3,2,0.214537143707
35,0,default,50,3,3,0.219746828079
35,0,default,50,4,1,0.21112203598
35,0,default,50,4,2,0.196177005768
35,0,default,50,4,3,0.191246032715
35,0,default,50,8,1,0.189444065094
35,0,default,50,8,2,0.188412904739
35,0,default,50,8,3,0.189717769623
35,0,default,50,16,1,0.194014072418
35,0,default,50,16,2,0.189605951309
35,0,default,50,16,3,0.189295053482
35,0,default,100,1,1,0.197052955627
35,0,default,100,1,2,0.209511995316
35,0,default,100,1,3,0.203938961029
35,0,default,100,2,1,0.192867040634
35,0,default,100,2,2,0.213848829269
35,0,default,100,2,3,0.223250865936
35,0,default,100,3,1,0.199044942856
35,0,default,100,3,2,0.207947969437
35,0,default,100,3,3,0.204622030258
35,0,default,100,4,1,0.207195997238
35,0,default,100,4,2,0.20325088501
35,0,default,100,4,3,0.220983982086
35,0,default,100,8,1,0.202885866165
35,0,default,100,8,2,0.191353082657
35,0,default,100,8,3,0.191617012024
35,0,default,100,16,1,0.192714929581
35,0,default,100,16,2,0.192570209503
35,0,default,100,16,3,0.189474105835
35,0,big,4,1,1,0.24112200737
35,0,big,4,1,2,0.207942008972
35,0,big,4,1,3,0.195019960403
35,0,big,4,2,1,0.212625026703
35,0,big,4,2,2,0.204450845718
35,0,big,4,2,3,0.201002836227
35,0,big,4,3,1,0.193391084671
35,0,big,4,3,2,0.187260150909
35,0,big,4,3,3,0.184576034546
35,0,big,4,4,1,0.182894229889
35,0,big,4,4,2,0.180660963058
35,0,big,4,4,3,0.160115003586
35,0,big,4,8,1,0.1901948452
35,0,big,4,8,2,0.150375843048
35,0,big,4,8,3,0.199006080627
35,0,big,4,16,1,0.193403959274
35,0,big,4,16,2,0.198730945587
35,0,big,4,16,3,0.198096990585
35,0,big,50,1,1,0.234616994858
35,0,big,50,1,2,0.218877077103
35,0,big,50,1,3,0.210329055786
35,0,big,50,2,1,0.186073064804
35,0,big,50,2,2,0.206305980682
35,0,big,50,2,3,0.218096971512
35,0,big,50,3,1,0.214714050293
35,0,big,50,3,2,0.217103004456
35,0,big,50,3,3,0.225576162338
35,0,big,50,4,1,0.216751098633
35,0,big,50,4,2,0.204436063766
35,0,big,50,4,3,0.21075797081
35,0,big,50,8,1,0.196579933167
35,0,big,50,8,2,0.181009054184
35,0,big,50,8,3,0.196793079376
35,0,big,50,16,1,0.199449062347
35,0,big,50,16,2,0.196755170822
35,0,big,50,16,3,0.189504861832
35,0,big,100,1,1,0.229357004166
35,0,big,100,1,2,0.234884977341
35,0,big,100,1,3,0.219412088394
35,0,big,100,2,1,0.200216054916
35,0,big,100,2,2,0.209057092667
35,0,big,100,2,3,0.20737195015
35,0,big,100,3,1,0.220106840134
35,0,big,100,3,2,0.216943979263
35,0,big,100,3,3,0.203603029251
35,0,big,100,4,1,0.211224079132
35,0,big,100,4,2,0.217040061951
35,0,big,100,4,3,0.188346147537
35,0,big,100,8,1,0.191251993179
35,0,big,100,8,2,0.184886932373
35,0,big,100,8,3,0.19048500061
35,0,big,100,16,1,0.19593000412
35,0,big,100,16,2,0.203361034393
35,0,big,100,16,3,0.196854829788
35,50,default,4,1,1,2.79048013687
35,50,default,4,1,2,2.38287591934
35,50,default,4,1,3,2.68182206154
35,50,default,4,2,1,1.6402130127
35,50,default,4,2,2,1.63529801369
35,50,default,4,2,3,1.68027710915
35,50,default,4,3,1,1.5433371067
35,50,default,4,3,2,1.53856515884
35,50,default,4,3,3,1.53845191002
35,50,default,4,4,1,1.48697805405
35,50,default,4,4,2,1.47829914093
35,50,default,4,4,3,1.49237012863
35,50,default,4,8,1,1.5287899971
35,50,default,4,8,2,1.52856516838
35,50,default,4,8,3,1.52356910706
35,50,default,4,16,1,1.57513999939
35,50,default,4,16,2,1.57593393326
35,50,default,4,16,3,1.57696199417
35,50,default,50,1,1,2.03353214264
35,50,default,50,1,2,1.88019299507
35,50,default,50,1,3,1.8831679821
35,50,default,50,2,1,1.60799407959
35,50,default,50,2,2,1.6071999073
35,50,default,50,2,3,1.6068251133
35,50,default,50,3,1,1.49743509293
35,50,default,50,3,2,1.50025486946
35,50,default,50,3,3,1.49990487099
35,50,default,50,4,1,1.44068694115
35,50,default,50,4,2,1.44349098206
35,50,default,50,4,3,1.48215985298
35,50,default,50,8,1,1.48259496689
35,50,default,50,8,2,1.52435207367
35,50,default,50,8,3,1.48564982414
35,50,default,50,16,1,1.57684993744
35,50,default,50,16,2,1.53468394279
35,50,default,50,16,3,1.53743386269
35,50,default,100,1,1,2.13151097298
35,50,default,100,1,2,1.88002490997
35,50,default,100,1,3,1.83316898346
35,50,default,100,2,1,1.58939504623
35,50,default,100,2,2,1.56834793091
35,50,default,100,2,3,1.56070685387
35,50,default,100,3,1,1.45021390915
35,50,default,100,3,2,1.48549199104
35,50,default,100,3,3,1.48669815063
35,50,default,100,4,1,1.44484996796
35,50,default,100,4,2,1.44687795639
35,50,default,100,4,3,1.44463205338
35,50,default,100,8,1,1.48591208458
35,50,default,100,8,2,1.48335599899
35,50,default,100,8,3,1.52389597893
35,50,default,100,16,1,1.53386211395
35,50,default,100,16,2,1.53294110298
35,50,default,100,16,3,1.53424191475
35,50,big,4,1,1,1.99487400055
35,50,big,4,1,2,1.99322199821
35,50,big,4,1,3,2.08770298958
35,50,big,4,2,1,1.526501894
35,50,big,4,2,2,1.57323408127
35,50,big,4,2,3,1.53478288651
35,50,big,4,3,1,1.47002601624
35,50,big,4,3,2,1.43823719025
35,50,big,4,3,3,1.43024897575
35,50,big,4,4,1,1.42572402954
35,50,big,4,4,2,1.43262219429
35,50,big,4,4,3,1.42872810364
35,50,big,4,8,1,1.52357506752
35,50,big,4,8,2,1.48372912407
35,50,big,4,8,3,1.48245286942
35,50,big,4,16,1,1.53198695183
