MB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,0,big,4,3,1,9.32441711426
10240,0,big,10,3,1,9.77747607231
10240,0,big,25,3,1,9.78286409378
10240,0,big,50,3,1,10.1043069363
10240,0,big,75,3,1,10.2875261307
10240,0,big,100,3,1,9.95471596718
10240,0,big,200,3,1,10.0298109055
10240,0,big,400,3,1,9.95667695999
10240,50,big,4,3,1,29.7524728775
10240,50,big,10,3,1,15.8130941391
10240,50,big,25,3,1,16.3683888912
10240,50,big,50,3,1,13.894698143
10240,50,big,75,3,1,13.9125139713
10240,50,big,100,3,1,14.2303509712
10240,50,big,200,3,1,13.9120628834
10240,50,big,400,3,1,14.6791558266
10240,100,big,4,3,1,22.7360451221
10240,100,big,10,3,1,23.1313891411
10240,100,big,25,3,1,23.700881958
10240,100,big,50,3,1,24.89189291
10240,100,big,75,3,1,23.7865729332
10240,100,big,100,3,1,23.6887660027
10240,100,big,200,3,1,24.0007719994
10240,100,big,400,3,1,24.4829599857
10240,500,big,4,3,1,329.362991095
10240,500,big,10,3,1,344.465777159
10240,500,big,25,3,1,367.667845964
10240,500,big,50,3,1,305.981601
10240,500,big,75,3,1,334.598631144
10240,500,big,100,3,1,326.870654106
10240,500,big,200,3,1,319.477245092
10240,500,big,400,3,1,346.816796064
10240,10,big,4,3,1,10.3241620064
10240,10,big,10,3,1,9.56798315048
10240,10,big,25,3,1,9.72082996368
10240,10,big,50,3,1,9.57800602913
10240,10,big,75,3,1,9.7210111618
10240,10,big,100,3,1,9.64755105972
10240,10,big,200,3,1,9.61523485184
10240,10,big,400,3,1,9.54536581039
10240,20,big,4,3,1,9.74845504761
10240,20,big,10,3,1,9.85713601112
10240,20,big,25,3,1,9.97601699829
10240,20,big,50,3,1,9.89021015167
10240,20,big,75,3,1,13.5893318653
10240,20,big,100,3,1,10.108137846
10240,20,big,200,3,1,9.91507005692
10240,20,big,400,3,1,9.94914007187
10240,30,big,4,3,1,10.148047924
10240,30,big,10,3,1,10.3624210358
10240,30,big,25,3,1,10.6231019497
10240,30,big,50,3,1,11.0787730217
10240,30,big,75,3,1,13.1680519581
10240,30,big,100,3,1,10.8331899643
10240,30,big,200,3,1,10.4902918339
10240,30,big,400,3,1,10.9305069447
10240,40,big,4,3,1,11.3442561626
10240,40,big,10,3,1,11.781042099
10240,40,big,25,3,1,12.1288969517
10240,40,big,50,3,1,12.2198090553
10240,40,big,75,3,1,12.6106350422
10240,40,big,100,3,1,12.2684698105
10240,40,big,200,3,1,12.2460839748
10240,40,big,400,3,1,12.1274700165
10240,60,big,4,3,1,18.3120830059
10240,60,big,10,3,1,14.4930281639
10240,60,big,25,3,1,15.6676199436
10240,60,big,50,3,1,15.8406808376
10240,60,big,75,3,1,15.7706210613
10240,60,big,100,3,1,15.7654078007
10240,60,big,200,3,1,16.0264201164
10240,60,big,400,3,1,15.5915651321
10240,70,big,4,3,1,20.8432750702
10240,70,big,10,3,1,21.3875031471
10240,70,big,25,3,1,17.219203949
10240,70,big,50,3,1,17.3869290352
10240,70,big,75,3,1,17.2291209698
10240,70,big,100,3,1,17.6344270706
10240,70,big,200,3,1,17.608397007
