MiB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,0,big,100,1,1,24.9959311485
10240,0,big,100,2,1,10.8613789082
10240,0,big,100,3,1,9.8349108696
10240,0,big,100,4,1,9.67374515533
10240,0,big,100,8,1,9.32183480263
10240,0,big,100,16,1,9.33336806297
10240,10,big,100,1,1,24.2821989059
10240,10,big,100,2,1,11.5716049671
10240,10,big,100,3,1,9.54230809212
10240,10,big,100,4,1,10.4306240082
10240,10,big,100,8,1,11.0813851357
10240,10,big,100,16,1,12.254720211
10240,20,big,100,1,1,23.5173711777
10240,20,big,100,2,1,13.7342669964
10240,20,big,100,3,1,9.80502104759
10240,20,big,100,4,1,10.6035068035
10240,20,big,100,8,1,21.5229349136
10240,20,big,100,16,1,13.8712849617
10240,30,big,100,1,1,25.0147778988
10240,30,big,100,2,1,14.0604889393
10240,30,big,100,3,1,14.0993909836
10240,30,big,100,4,1,11.9742588997
10240,30,big,100,8,1,35.9587910175
10240,30,big,100,16,1,26.8380839825
10240,40,big,100,1,1,26.5099289417
10240,40,big,100,2,1,15.7946541309
10240,40,big,100,3,1,14.2332689762
10240,40,big,100,4,1,14.1869320869
10240,40,big,100,8,1,22.2469289303
10240,40,big,100,16,1,34.2553310394
10240,50,big,100,1,1,27.3063900471
10240,50,big,100,2,1,19.6336331367
10240,50,big,100,3,1,23.2050628662
10240,50,big,100,4,1,16.9275779724
10240,50,big,100,8,1,26.3815379143
10240,50,big,100,16,1,37.2243909836
10240,60,big,100,1,1,29.8907179832
10240,60,big,100,2,1,22.8454511166
10240,60,big,100,3,1,18.3154020309
10240,60,big,100,4,1,20.7330181599
10240,60,big,100,8,1,34.4574639797
10240,60,big,100,16,1,37.4676001072
10240,70,big,100,1,1,33.9014730453
10240,70,big,100,2,1,25.0968780518
10240,70,big,100,3,1,17.2856209278
10240,70,big,100,4,1,36.5610079765
10240,70,big,100,8,1,40.1945340633
10240,70,big,100,16,1,40.4426021576
10240,80,big,100,1,1,37.6517388821
10240,80,big,100,2,1,28.1303188801
10240,80,big,100,3,1,19.6245889664
10240,80,big,100,4,1,37.0354030132
10240,80,big,100,8,1,40.7253501415
10240,80,big,100,16,1,42.9503929615
10240,90,big,100,1,1,41.1050238609
10240,90,big,100,2,1,30.8035998344
10240,90,big,100,3,1,27.9457850456
10240,90,big,100,4,1,42.3541510105
10240,90,big,100,8,1,43.2739458084
10240,90,big,100,16,1,46.1689300537
10240,100,big,100,1,1,46.3180148602
